model,dprime,meta_d,m_ratio,ci_lo,ci_hi,supported,n_valid_boot
llama3_instruct,1.3860465799180686,1.3617911444199335,0.9825002739088546,,,False,0
mistral_instruct,1.596943647575179,1.3609855352175515,0.8522439331432204,,,False,0
llama3_base,1.407432908739699,1.4743096327148635,1.0475168113235678,,,False,0
