model,dataset,auroc2,zroc_slope,da,r2
Llama-3-Instruct,triviaqa,0.8313464436294508,0.8625611544947461,1.385164423501416,0.9995545388117307
Mistral-Instruct,triviaqa,0.8551373754930143,0.812390612418937,1.474874406400595,0.9797655479311965
Llama-3-Base,triviaqa,0.8391547895108592,1.1790354292398684,1.4633590590060062,0.9933325976335907
Gemma-2-Instruct,triviaqa,0.746957483799589,0.9920153242831669,0.9639625483750576,0.9996547956830613
Llama-3-Instruct,nq,0.7899690699658704,0.8521982374824588,1.1631661756113039,0.9931786202343034
Mistral-Instruct,nq,0.8230829663306145,0.6441864424045203,1.3943824127745974,0.991232103940436
Llama-3-Base,nq,0.7647608211430625,1.2434292159862592,1.0379219803422293,0.9973329533381556
Gemma-2-Instruct,nq,0.7181437241749751,1.1814294245811805,0.8348028928428981,0.9963877078944733
