dataset,model,acc,n,meta_i2r,mi_lo,mi_hi,p_perm,auroc2,a_lo,a_hi,null_mean
triviaqa,Llama-3-Instruct,0.5434,5000,0.27571104142379915,0.25641828675112577,0.2976687604335287,0.0004997501249375312,0.8313464436294508,0.8201156635338935,0.8420152942879855,0.001033514748427346
triviaqa,Mistral-Instruct,0.4274,5000,0.32846719129439805,0.30667159271816014,0.35272682697900837,0.0004997501249375312,0.8551373754930143,0.8441991046920557,0.8658019037853928,0.0010251081678064767
triviaqa,Llama-3-Base,0.4284,5000,0.29224954541612486,0.273324528091397,0.31242885745831633,0.0004997501249375312,0.8391547895108592,0.8288379910716681,0.8492123424351522,0.0010340357148058642
triviaqa,Gemma-2-Instruct,0.6004,5000,0.1428232294568721,0.12791317503130506,0.16070945802972314,0.0004997501249375312,0.746957483799589,0.7334999629862254,0.760528807949116,0.001045721230938124
nq,Llama-3-Instruct,0.21866666666666668,3000,0.19218272536075007,0.16621440508511937,0.22414233897395036,0.0004997501249375312,0.7899690699658704,0.7694928445959826,0.8104016173272778,0.002220822533803697
nq,Mistral-Instruct,0.10366666666666667,3000,0.24339786673010325,0.20681879024049202,0.2862930993181326,0.0004997501249375312,0.8230829663306145,0.7952813750650093,0.84822872647088,0.003514498741043559
nq,Llama-3-Base,0.13933333333333334,3000,0.14018455147301553,0.12027059304457555,0.16979446816358607,0.0004997501249375312,0.7647608211430625,0.7441005675693005,0.7870569955344533,0.002944399850994135
nq,Gemma-2-Instruct,0.2806666666666667,3000,0.10801067109588153,0.09086816459819469,0.1304736626328185,0.0004997501249375312,0.7181437241749751,0.6986243028312562,0.737439256339791,0.0019612223316864854
