model,dprime,meta_d,m_ratio,ci_lo,ci_hi,supported,n_valid_boot
llama3_instruct,1.3860465799180686,1.3617911444199335,0.9825002739088546,0.8856175649207809,1.083204988817053,False,10000
mistral_instruct,1.596943647575179,1.3609855352175515,0.8522439331432204,0.7654879727323228,0.9411931767991887,True,10000
llama3_base,1.407432908739699,1.4743096327148635,1.0475168113235678,0.9517173801407091,1.152367758067965,False,9999
gemma2_instruct,0.9458669722895994,0.9911255519076951,1.0478487788917519,0.9125018655546088,1.1907865925814292,False,10000
